Ruta,Indice,Real,Imag
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i21_second,9,-0.0696413233251083,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i21_second,10,-0.055842461937895965,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,1,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,2,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,3,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,4,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,5,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,6,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,7,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,8,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,9,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i22_second,10,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,1,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,2,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,3,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,4,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,5,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,6,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,7,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,8,0.0,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i23_second,9,0.0,0.0
